,angle_deg,freq_THz,trans
673,5.6842,270.0,0.0223
600,5.6842,271.0,0.0281
32,5.6842,272.0,0.0344
88,5.6842,273.0,0.0413
945,5.6842,274.0,0.0487
86,5.6842,275.0,0.0565
685,5.6842,276.0,0.0648
521,5.6842,277.0,0.0734
893,5.6842,278.0,0.082
862,5.6842,279.0,0.0906
1299,5.6842,280.0,0.0988
428,5.6842,281.0,0.1064
84,5.6842,282.0,0.1131
640,5.6842,283.0,0.1186
874,5.6842,284.0,0.1226
586,5.6842,285.0,0.1249
63,5.6842,286.0,0.1253
936,5.6842,287.0,0.1238
852,5.6842,288.0,0.1203
1252,5.6842,289.0,0.115
364,5.6842,290.0,0.1078
371,6.6316,220.0,0.6911
1216,6.6316,221.0,0.6649
226,6.6316,222.0,0.6348
734,6.6316,223.0,0.6009
348,6.6316,224.0,0.5637
108,6.6316,225.0,0.5236
378,6.6316,226.0,0.4814
1175,6.6316,227.0,0.4379
213,6.6316,228.0,0.3939
1177,6.6316,229.0,0.3503
1339,6.6316,230.0,0.3082
1195,6.6316,231.0,0.2683
889,6.6316,232.0,0.2315
1098,6.6316,233.0,0.1984
649,6.6316,234.0,0.1694
100,6.6316,235.0,0.1449
1308,6.6316,236.0,0.125
660,6.6316,237.0,0.1095
109,6.6316,238.0,0.0982
926,6.6316,239.0,0.0906
1185,6.6316,240.0,0.0862
1047,6.6316,241.0,0.0842
35,6.6316,242.0,0.0839
71,6.6316,243.0,0.0847
451,6.6316,244.0,0.0859
1191,6.6316,245.0,0.0868
119,6.6316,246.0,0.087
701,6.6316,247.0,0.086
174,6.6316,248.0,0.0837
441,6.6316,249.0,0.0799
452,6.6316,250.0,0.0748
230,6.6316,251.0,0.0684
1418,6.6316,252.0,0.061
507,6.6316,253.0,0.0529
653,6.6316,254.0,0.0444
362,6.6316,255.0,0.0361
728,6.6316,256.0,0.0281
539,6.6316,257.0,0.0208
722,6.6316,258.0,0.0145
151,6.6316,259.0,0.0093
1363,6.6316,260.0,0.0054
696,6.6316,261.0,0.0028
1262,6.6316,262.0,0.0015
1183,6.6316,263.0,0.0014
626,6.6316,264.0,0.0025
577,6.6316,265.0,0.0045
218,6.6316,266.0,0.0075
1322,6.6316,267.0,0.0113
1016,6.6316,268.0,0.0157
464,6.6316,269.0,0.0208
47,6.6316,270.0,0.0264
1076,6.6316,271.0,0.0326
1122,6.6316,272.0,0.0392
58,6.6316,273.0,0.0464
904,6.6316,274.0,0.054
959,6.6316,275.0,0.0621
143,6.6316,276.0,0.0706
794,6.6316,277.0,0.0792
1330,6.6316,278.0,0.088
166,6.6316,279.0,0.0966
181,6.6316,280.0,0.1049
927,6.6316,281.0,0.1124
336,6.6316,282.0,0.119
1214,6.6316,283.0,0.1244
487,6.6316,284.0,0.1281
1067,6.6316,285.0,0.1302
503,6.6316,286.0,0.1302
567,6.6316,287.0,0.1282
593,6.6316,288.0,0.1242
982,6.6316,289.0,0.1182
1311,6.6316,290.0,0.1105
695,7.5789,220.0,0.6832
367,7.5789,221.0,0.6551
790,7.5789,222.0,0.623
575,7.5789,223.0,0.5871
208,7.5789,224.0,0.5478
1180,7.5789,225.0,0.5058
1125,7.5789,226.0,0.462
652,7.5789,227.0,0.4172
772,7.5789,228.0,0.3725
1360,7.5789,229.0,0.3289
4,7.5789,230.0,0.2874
1105,7.5789,231.0,0.2489
826,7.5789,232.0,0.2142
549,7.5789,233.0,0.1839
718,7.5789,234.0,0.1584
125,7.5789,235.0,0.1379
724,7.5789,236.0,0.1224
976,7.5789,237.0,0.1115
1379,7.5789,238.0,0.1049
425,7.5789,239.0,0.102
1060,7.5789,240.0,0.1019
299,7.5789,241.0,0.1038
392,7.5789,242.0,0.107
1153,7.5789,243.0,0.1106
1309,7.5789,244.0,0.1139
374,7.5789,245.0,0.1161
1403,7.5789,246.0,0.1169
12,7.5789,247.0,0.1158
90,7.5789,248.0,0.1128
766,7.5789,249.0,0.1077
900,7.5789,250.0,0.1007
616,7.5789,251.0,0.0921
439,7.5789,252.0,0.0823
871,7.5789,253.0,0.0717
618,7.5789,254.0,0.0607
298,7.5789,255.0,0.0499
845,7.5789,256.0,0.0396
1037,7.5789,257.0,0.0303
1156,7.5789,258.0,0.0222
941,7.5789,259.0,0.0155
483,7.5789,260.0,0.0105
1277,7.5789,261.0,0.0071
265,7.5789,262.0,0.0052
637,7.5789,263.0,0.0049
710,7.5789,264.0,0.0059
601,7.5789,265.0,0.0081
161,7.5789,266.0,0.0113
36,7.5789,267.0,0.0154
958,7.5789,268.0,0.0202
1025,7.5789,269.0,0.0256
253,7.5789,270.0,0.0316
1247,7.5789,271.0,0.0381
993,7.5789,272.0,0.0452
418,7.5789,273.0,0.0526
1093,7.5789,274.0,0.0606
813,7.5789,275.0,0.0689
1410,7.5789,276.0,0.0775
560,7.5789,277.0,0.0864
396,7.5789,278.0,0.0953
998,7.5789,279.0,0.104
1297,7.5789,280.0,0.1122
1323,7.5789,281.0,0.1198
430,7.5789,282.0,0.1263
87,7.5789,283.0,0.1314
148,7.5789,284.0,0.1349
835,7.5789,285.0,0.1365
287,7.5789,286.0,0.1361
182,7.5789,287.0,0.1335
888,7.5789,288.0,0.1287
427,7.5789,289.0,0.122
126,7.5789,290.0,0.1135
585,8.5263,220.0,0.6729
1294,8.5263,221.0,0.6424
435,8.5263,222.0,0.6078
241,8.5263,223.0,0.5695
139,8.5263,224.0,0.5281
775,8.5263,225.0,0.4844
1162,8.5263,226.0,0.4394
141,8.5263,227.0,0.394
433,8.5263,228.0,0.3494
1128,8.5263,229.0,0.3066
1413,8.5263,230.0,0.2667
330,8.5263,231.0,0.2306
552,8.5263,232.0,0.199
131,8.5263,233.0,0.1724
621,8.5263,234.0,0.1511
1281,8.5263,235.0,0.1353
1000,8.5263,236.0,0.1247
16,8.5263,237.0,0.1189
227,8.5263,238.0,0.1173
877,8.5263,239.0,0.1191
6,8.5263,240.0,0.1234
806,8.5263,241.0,0.1293
419,8.5263,242.0,0.1358
1055,8.5263,243.0,0.1421
77,8.5263,244.0,0.1473
508,8.5263,245.0,0.1508
154,8.5263,246.0,0.152
975,8.5263,247.0,0.1508
781,8.5263,248.0,0.1469
254,8.5263,249.0,0.1404
455,8.5263,250.0,0.1315
1244,8.5263,251.0,0.1207
609,8.5263,252.0,0.1084
67,8.5263,253.0,0.0952
630,8.5263,254.0,0.0816
274,8.5263,255.0,0.0682
1246,8.5263,256.0,0.0555
866,8.5263,257.0,0.0439
643,8.5263,258.0,0.0338
1081,8.5263,259.0,0.0255
873,8.5263,260.0,0.019
604,8.5263,261.0,0.0145
224,8.5263,262.0,0.0118
135,8.5263,263.0,0.0109
934,8.5263,264.0,0.0115
447,8.5263,265.0,0.0135
815,8.5263,266.0,0.0168
20,8.5263,267.0,0.021
1029,8.5263,268.0,0.026
373,8.5263,269.0,0.0317
505,8.5263,270.0,0.0381
1123,8.5263,271.0,0.045
745,8.5263,272.0,0.0524
251,8.5263,273.0,0.0603
82,8.5263,274.0,0.0686
363,8.5263,275.0,0.0773
1215,8.5263,276.0,0.0863
1070,8.5263,277.0,0.0954
1402,8.5263,278.0,0.1045
876,8.5263,279.0,0.1133
973,8.5263,280.0,0.1216
380,8.5263,281.0,0.1289
70,8.5263,282.0,0.1352
1080,8.5263,283.0,0.1399
533,8.5263,284.0,0.1428
