,angle_deg,freq_THz,trans
507,5.5172,237.1429,0.1097
506,5.5172,238.5714,0.1099
515,5.5172,240.0,0.1152
516,5.5172,241.4286,0.1237
517,5.5172,242.8571,0.1331
512,5.5172,244.2857,0.1415
520,5.5172,245.7143,0.147
519,5.5172,247.1429,0.1486
521,5.5172,248.5714,0.1454
514,5.5172,250.0,0.1372
527,5.5172,251.4286,0.1247
529,5.5172,252.8571,0.1086
523,5.5172,254.2857,0.0904
522,5.5172,255.7143,0.0714
543,5.5172,257.1429,0.0532
525,5.5172,258.5714,0.0372
538,5.5172,260.0,0.0245
524,5.5172,261.4286,0.0158
526,5.5172,262.8571,0.0116
533,5.5172,264.2857,0.0118
535,5.5172,265.7143,0.0161
528,5.5172,267.1429,0.0238
531,5.5172,268.5714,0.0342
530,5.5172,270.0,0.0462
546,5.5172,271.4286,0.0591
532,5.5172,272.8571,0.072
534,5.5172,274.2857,0.0841
545,5.5172,275.7143,0.0948
539,5.5172,277.1429,0.1037
541,5.5172,278.5714,0.1105
542,5.5172,280.0,0.1148
569,5.5172,281.4286,0.1167
544,5.5172,282.8571,0.1161
556,5.5172,284.2857,0.113
547,5.5172,285.7143,0.1076
568,5.5172,287.1429,0.1003
557,5.5172,288.5714,0.0913
548,5.5172,290.0,0.0812
550,6.2069,220.0,0.57
552,6.2069,221.4286,0.5217
553,6.2069,222.8571,0.4691
555,6.2069,224.2857,0.4139
559,6.2069,225.7143,0.3582
572,6.2069,227.1429,0.3041
573,6.2069,228.5714,0.254
560,6.2069,230.0,0.21
564,6.2069,231.4286,0.1739
562,6.2069,232.8571,0.1469
579,6.2069,234.2857,0.1296
565,6.2069,235.7143,0.1216
563,6.2069,237.1429,0.1221
566,6.2069,238.5714,0.1293
567,6.2069,240.0,0.1412
574,6.2069,241.4286,0.1555
570,6.2069,242.8571,0.1696
575,6.2069,244.2857,0.1813
601,6.2069,245.7143,0.1888
577,6.2069,247.1429,0.1908
604,6.2069,248.5714,0.1867
576,6.2069,250.0,0.1765
578,6.2069,251.4286,0.161
582,6.2069,252.8571,0.1414
584,6.2069,254.2857,0.1193
618,6.2069,255.7143,0.0965
580,6.2069,257.1429,0.0747
617,6.2069,258.5714,0.0554
581,6.2069,260.0,0.04
630,6.2069,261.4286,0.0292
628,6.2069,262.8571,0.0235
629,6.2069,264.2857,0.0227
586,6.2069,265.7143,0.0265
591,6.2069,267.1429,0.0342
588,6.2069,268.5714,0.0447
593,6.2069,270.0,0.0571
597,6.2069,271.4286,0.0705
594,6.2069,272.8571,0.0838
599,6.2069,274.2857,0.0963
635,6.2069,275.7143,0.1072
595,6.2069,277.1429,0.1161
598,6.2069,278.5714,0.1225
602,6.2069,280.0,0.1263
603,6.2069,281.4286,0.1273
600,6.2069,282.8571,0.1255
608,6.2069,284.2857,0.121
609,6.2069,285.7143,0.1142
610,6.2069,287.1429,0.1054
611,6.2069,288.5714,0.0951
606,6.2069,290.0,0.0838
612,6.8966,220.0,0.5573
607,6.8966,221.4286,0.5063
645,6.8966,222.8571,0.4516
650,6.8966,224.2857,0.3949
616,6.8966,225.7143,0.3387
613,6.8966,227.1429,0.2852
621,6.8966,228.5714,0.2371
615,6.8966,230.0,0.1965
620,6.8966,231.4286,0.1651
622,6.8966,232.8571,0.144
624,6.8966,234.2857,0.1334
634,6.8966,235.7143,0.1327
632,6.8966,237.1429,0.1407
633,6.8966,238.5714,0.1552
636,6.8966,240.0,0.1737
638,6.8966,241.4286,0.1936
637,6.8966,242.8571,0.212
654,6.8966,244.2857,0.2267
639,6.8966,245.7143,0.2357
640,6.8966,247.1429,0.2378
674,6.8966,248.5714,0.2325
643,6.8966,250.0,0.2202
641,6.8966,251.4286,0.2018
642,6.8966,252.8571,0.1787
647,6.8966,254.2857,0.1528
648,6.8966,255.7143,0.1262
649,6.8966,257.1429,0.1008
646,6.8966,258.5714,0.0783
653,6.8966,260.0,0.0601
651,6.8966,261.4286,0.047
655,6.8966,262.8571,0.0394
658,6.8966,264.2857,0.0373
679,6.8966,265.7143,0.0402
677,6.8966,267.1429,0.0473
660,6.8966,268.5714,0.0577
656,6.8966,270.0,0.0702
662,6.8966,271.4286,0.0838
691,6.8966,272.8571,0.0974
672,6.8966,274.2857,0.1102
661,6.8966,275.7143,0.1212
665,6.8966,277.1429,0.1301
667,6.8966,278.5714,0.1362
669,6.8966,280.0,0.1393
697,6.8966,281.4286,0.1394
670,6.8966,282.8571,0.1364
671,6.8966,284.2857,0.1306
673,6.8966,285.7143,0.1222
705,6.8966,287.1429,0.1118
678,6.8966,288.5714,0.0999
675,6.8966,290.0,0.0873
479,7.5862,220.0,0.5419
681,7.5862,221.4286,0.4884
713,7.5862,222.8571,0.4319
676,7.5862,224.2857,0.3745
686,7.5862,225.7143,0.3186
685,7.5862,227.1429,0.2669
680,7.5862,228.5714,0.222
719,7.5862,230.0,0.186
684,7.5862,231.4286,0.1605
683,7.5862,232.8571,0.1463
726,7.5862,234.2857,0.1433
690,7.5862,235.7143,0.1506
689,7.5862,237.1429,0.1662
693,7.5862,238.5714,0.1878
695,7.5862,240.0,0.2125
696,7.5862,241.4286,0.2373
698,7.5862,242.8571,0.2594
699,7.5862,244.2857,0.2763
700,7.5862,245.7143,0.2861
709,7.5862,247.1429,0.2878
701,7.5862,248.5714,0.281
703,7.5862,250.0,0.2663
707,7.5862,251.4286,0.2449
706,7.5862,252.8571,0.2186
741,7.5862,254.2857,0.1893
710,7.5862,255.7143,0.1592
711,7.5862,257.1429,0.1305
742,7.5862,258.5714,0.105
712,7.5862,260.0,0.084
746,7.5862,261.4286,0.0685
714,7.5862,262.8571,0.0589
716,7.5862,264.2857,0.0552
718,7.5862,265.7143,0.0569
717,7.5862,267.1429,0.0632
722,7.5862,268.5714,0.0731
720,7.5862,270.0,0.0854
723,7.5862,271.4286,0.099
729,7.5862,272.8571,0.1128
754,7.5862,274.2857,0.1258
728,7.5862,275.7143,0.137
731,7.5862,277.1429,0.1458
735,7.5862,278.5714,0.1516
756,7.5862,280.0,0.1542
727,7.5862,281.4286,0.1534
736,7.5862,282.8571,0.1491
733,7.5862,284.2857,0.1417
734,7.5862,285.7143,0.1316
730,7.5862,287.1429,0.1194
761,7.5862,288.5714,0.1057
760,7.5862,290.0,0.0917
738,8.2759,220.0,0.5243
740,8.2759,221.4286,0.4686
743,8.2759,222.8571,0.4107
744,8.2759,224.2857,0.3531
747,8.2759,225.7143,0.2987
748,8.2759,227.1429,0.25
751,8.2759,228.5714,0.2097
758,8.2759,230.0,0.1797
757,8.2759,231.4286,0.1613
750,8.2759,232.8571,0.155
753,8.2759,234.2857,0.1602
774,8.2759,235.7143,0.1755
752,8.2759,237.1429,0.1986
755,8.2759,238.5714,0.2268
759,8.2759,240.0,0.2569
782,8.2759,241.4286,0.2858
765,8.2759,242.8571,0.3105
